Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId,LHP,LHH,RHP,RHH
2022,Kolten Wong,MIL,125,401,350,97,55,24,4,14,14,44,35,2,73,11,5,0,5,0,0,0.27714286,12532,0,1,1,0
2022,Brad Miller,TEX,77,221,203,44,35,3,0,6,6,29,17,0,61,0,1,0,3,0,0,0.21674877,12775,0,1,1,0
2022,Francisco Lindor,NYM,153,498,442,119,80,17,5,17,17,77,45,2,98,7,4,0,7,0,0,0.26923077,12916,0,1,1,0
2022,Brandon Nimmo,NYM,130,439,379,106,73,18,4,11,11,38,47,0,69,10,2,1,3,0,0,0.27968338,12927,0,1,1,0
2022,Jackie Bradley Jr.,2 Tms,109,290,271,58,36,19,1,2,2,23,17,0,62,0,0,2,4,0,0,0.21402214,12984,0,1,1,0
2022,Josh Bell,2 Tms,142,437,371,97,65,21,1,10,10,39,57,2,72,4,2,0,12,0,0,0.26145553,13145,0,1,1,0
2022,Jorge Polanco,MIN,97,295,242,58,33,11,0,14,14,42,51,1,67,1,1,0,3,0,0,0.23966942,13152,0,1,1,0
2022,Max Muncy,LAD,130,419,346,70,36,18,1,15,15,47,68,1,112,2,3,0,1,0,0,0.20231214,13301,0,1,1,0
2022,Omar Narvaez,MIL,83,257,229,47,31,11,1,4,4,19,24,1,50,2,1,1,3,0,0,0.20524017,13338,0,1,1,0
2022,Tyler Naquin,2 Tms,95,270,249,60,31,16,4,9,9,40,18,2,81,3,0,0,2,0,0,0.24096386,13359,0,1,1,0
2022,Jose Ramirez,CLE,150,507,444,131,68,36,4,23,23,98,53,13,57,3,7,0,4,0,0,0.29504505,13510,0,1,1,0
2022,Jesse Winker,SEA,131,407,337,71,53,10,0,8,8,33,64,1,78,3,3,0,3,0,0,0.21068249,13590,0,1,1,0
2022,Ketel Marte,ARI,129,408,357,81,43,28,2,8,8,32,44,2,78,3,4,0,10,0,0,0.22689076,13613,0,1,1,0
